*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_226 | 1730        | 9878        | 0.012872  | 177804       | 154464       | 89.285549132948     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_227 | 1725        | 9922        | 0.012901  | 178596       | 154812       | 89.7460869565217    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_228 | 1759        | 10003       | 0.013031  | 180054       | 156372       | 88.8982376350199    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_229 | 1710        | 9812        | 0.012786  | 176616       | 153432       | 89.7263157894737    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_23  | 165         | 871         | 0.001153  | 15678        | 13836        | 83.8545454545455    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_230 | 446         | 2399        | 0.002999  | 43182        | 35988        | 80.6905829596413    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_231 | 431         | 2303        | 0.002885  | 41454        | 34620        | 80.3248259860789    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_232 | 428         | 2281        | 0.002861  | 41058        | 34332        | 80.214953271028     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_233 | 445         | 2381        | 0.00298   | 42858        | 35760        | 80.3595505617977    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_234 | 445         | 2385        | 0.002984  | 42930        | 35808        | 80.4674157303371    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_235 | 429         | 2285        | 0.002865  | 41130        | 34380        | 80.1398601398601    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_236 | 428         | 2281        | 0.002861  | 41058        | 34332        | 80.214953271028     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_237 | 436         | 2332        | 0.002919  | 41976        | 35028        | 80.3394495412844    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_238 | 439         | 2348        | 0.002941  | 42264        | 35292        | 80.3917995444191    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_239 | 430         | 2289        | 0.00287   | 41202        | 34440        | 80.0930232558139    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_24  | 162         | 850         | 0.001128  | 15300        | 13536        | 83.5555555555556    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_240 | 836         | 4608        | 0.00606   | 82944        | 72720        | 86.9856459330144    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_241 | 834         | 4602        | 0.00605   | 82836        | 72600        | 87.0503597122302    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_242 | 858         | 4743        | 0.006225  | 85374        | 74700        | 87.0629370629371    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_243 | 841         | 4653        | 0.006107  | 83754        | 73284        | 87.1391200951249    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_244 | 842         | 4651        | 0.006102  | 83718        | 73224        | 86.9643705463183    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_245 | 844         | 4662        | 0.006115  | 83916        | 73380        | 86.9431279620853    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_246 | 849         | 4680        | 0.006153  | 84240        | 73836        | 86.9681978798587    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_247 | 846         | 4684        | 0.006145  | 84312        | 73740        | 87.1631205673759    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_248 | 844         | 4670        | 0.006132  | 84060        | 73584        | 87.1848341232227    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_249 | 887         | 4817        | 0.006323  | 86706        | 75876        | 85.5422773393461    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_25  | 162         | 850         | 0.001128  | 15300        | 13536        | 83.5555555555556    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_250 | 853         | 4734        | 0.006199  | 85212        | 74388        | 87.2075029308324    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_251 | 833         | 4593        | 0.006035  | 82674        | 72420        | 86.9387755102041    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_252 | 851         | 4720        | 0.006183  | 84960        | 74196        | 87.186839012926     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_253 | 864         | 4800        | 0.006284  | 86400        | 75408        | 87.2777777777778    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_254 | 842         | 4658        | 0.006105  | 83844        | 73260        | 87.0071258907363    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_255 | 848         | 4695        | 0.006158  | 84510        | 73896        | 87.1415094339623    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_256 | 841         | 4649        | 0.006104  | 83682        | 73248        | 87.0963139120095    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_257 | 845         | 4689        | 0.00615   | 84402        | 73800        | 87.3372781065089    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_258 | 840         | 4648        | 0.006103  | 83664        | 73236        | 87.1857142857143    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_259 | 832         | 4594        | 0.006043  | 82692        | 72516        | 87.1586538461538    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_26  | 162         | 850         | 0.001128  | 15300        | 13536        | 83.5555555555556    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_260 | 436         | 2331        | 0.00292   | 41958        | 35040        | 80.3669724770642    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_261 | 440         | 2348        | 0.002942  | 42264        | 35304        | 80.2363636363636    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_262 | 436         | 2327        | 0.002916  | 41886        | 34992        | 80.256880733945     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_263 | 436         | 2327        | 0.002916  | 41886        | 34992        | 80.256880733945     |* 
