*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_183 | 132         | 2304        | 0.002747  | 41472        | 32964        | 249.727272727273    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_184 | 132         | 2304        | 0.002747  | 41472        | 32964        | 249.727272727273    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_185 | 132         | 2304        | 0.002747  | 41472        | 32964        | 249.727272727273    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_186 | 135         | 2356        | 0.002808  | 42408        | 33696        | 249.6               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_187 | 132         | 2304        | 0.002747  | 41472        | 32964        | 249.727272727273    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_188 | 135         | 2356        | 0.002808  | 42408        | 33696        | 249.6               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_189 | 132         | 2304        | 0.002747  | 41472        | 32964        | 249.727272727273    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_19  | 250         | 7467        | 0.010586  | 134406       | 127032       | 508.128             |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_190 | 135         | 2356        | 0.002808  | 42408        | 33696        | 249.6               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_191 | 135         | 2356        | 0.002808  | 42408        | 33696        | 249.6               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_192 | 132         | 2304        | 0.002747  | 41472        | 32964        | 249.727272727273    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_193 | 132         | 2304        | 0.002747  | 41472        | 32964        | 249.727272727273    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_194 | 135         | 2356        | 0.002808  | 42408        | 33696        | 249.6               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_195 | 135         | 2356        | 0.002808  | 42408        | 33696        | 249.6               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_196 | 132         | 2304        | 0.002747  | 41472        | 32964        | 249.727272727273    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_197 | 135         | 2356        | 0.002808  | 42408        | 33696        | 249.6               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_198 | 135         | 2356        | 0.002808  | 42408        | 33696        | 249.6               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_199 | 135         | 2356        | 0.002808  | 42408        | 33696        | 249.6               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_20  | 135         | 2356        | 0.002808  | 42408        | 33696        | 249.6               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_200 | 135         | 2356        | 0.002808  | 42408        | 33696        | 249.6               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_201 | 135         | 2356        | 0.002808  | 42408        | 33696        | 249.6               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_202 | 135         | 2356        | 0.002808  | 42408        | 33696        | 249.6               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_203 | 135         | 2356        | 0.002808  | 42408        | 33696        | 249.6               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_204 | 132         | 2304        | 0.002747  | 41472        | 32964        | 249.727272727273    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_205 | 132         | 2304        | 0.002747  | 41472        | 32964        | 249.727272727273    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_206 | 135         | 2356        | 0.002808  | 42408        | 33696        | 249.6               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_207 | 135         | 2356        | 0.002808  | 42408        | 33696        | 249.6               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_208 | 132         | 2304        | 0.002747  | 41472        | 32964        | 249.727272727273    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_209 | 132         | 2304        | 0.002747  | 41472        | 32964        | 249.727272727273    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_21  | 135         | 2356        | 0.002808  | 42408        | 33696        | 249.6               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_210 | 244         | 7362        | 0.010463  | 132516       | 125556       | 514.573770491803    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_211 | 250         | 7468        | 0.010588  | 134424       | 127056       | 508.224             |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_212 | 252         | 7399        | 0.010474  | 133182       | 125688       | 498.761904761905    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_213 | 250         | 7467        | 0.010586  | 134406       | 127032       | 508.128             |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_214 | 250         | 7467        | 0.010586  | 134406       | 127032       | 508.128             |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_215 | 250         | 7467        | 0.010586  | 134406       | 127032       | 508.128             |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_216 | 250         | 7466        | 0.010585  | 134388       | 127020       | 508.08              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_217 | 253         | 7519        | 0.010647  | 135342       | 127764       | 504.99604743083     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_218 | 253         | 7519        | 0.010647  | 135342       | 127764       | 504.99604743083     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_219 | 247         | 7414        | 0.010524  | 133452       | 126288       | 511.287449392713    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_22  | 132         | 2304        | 0.002747  | 41472        | 32964        | 249.727272727273    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_220 | 440         | 10181       | 0.011868  | 183258       | 142416       | 323.672727272727    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_221 | 425         | 10076       | 0.011745  | 181368       | 140940       | 331.623529411765    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_222 | 437         | 10167       | 0.011861  | 183006       | 142332       | 325.702517162471    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_223 | 435         | 10129       | 0.011808  | 182322       | 141696       | 325.737931034483    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_224 | 429         | 10076       | 0.011745  | 181368       | 140940       | 328.531468531469    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_225 | 430         | 10108       | 0.011777  | 181944       | 141324       | 328.660465116279    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_226 | 428         | 10023       | 0.011683  | 180414       | 140196       | 327.560747663551    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_227 | 428         | 9938        | 0.011587  | 178884       | 139044       | 324.869158878505    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_228 | 430         | 10096       | 0.011772  | 181728       | 141264       | 328.520930232558    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_229 | 430         | 10128       | 0.011806  | 182304       | 141672       | 329.46976744186     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_23  | 135         | 2356        | 0.002808  | 42408        | 33696        | 249.6               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_230 | 132         | 2304        | 0.002747  | 41472        | 32964        | 249.727272727273    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_231 | 132         | 2304        | 0.002747  | 41472        | 32964        | 249.727272727273    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_232 | 135         | 2356        | 0.002808  | 42408        | 33696        | 249.6               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_233 | 135         | 2356        | 0.002808  | 42408        | 33696        | 249.6               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_234 | 135         | 2356        | 0.002808  | 42408        | 33696        | 249.6               |* 
