*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_187 | 1872        | 7411        | 0.009975  | 133398       | 119700       | 63.9423076923077    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_188 | 2338        | 9284        | 0.012504  | 167112       | 150048       | 64.1779298545766    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_189 | 1797        | 7126        | 0.009591  | 128268       | 115092       | 64.0467445742905    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_19  | 1758        | 7004        | 0.009437  | 126072       | 113244       | 64.4163822525597    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_190 | 934         | 3781        | 0.005104  | 68058        | 61248        | 65.576017130621     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_191 | 896         | 3617        | 0.004882  | 65106        | 58584        | 65.3839285714286    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_192 | 1043        | 4208        | 0.00568   | 75744        | 68160        | 65.3499520613615    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_193 | 767         | 3110        | 0.004198  | 55980        | 50376        | 65.6792698826597    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_194 | 898         | 3628        | 0.004897  | 65304        | 58764        | 65.4387527839644    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_195 | 793         | 3208        | 0.00433   | 57744        | 51960        | 65.5233291298865    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_196 | 760         | 3079        | 0.004156  | 55422        | 49872        | 65.6210526315789    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_197 | 782         | 3170        | 0.004279  | 57060        | 51348        | 65.6624040920716    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_198 | 940         | 3799        | 0.005128  | 68382        | 61536        | 65.463829787234     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_199 | 865         | 3499        | 0.004723  | 62982        | 56676        | 65.521387283237     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_20  | 306         | 1345        | 0.001839  | 24210        | 22068        | 72.1176470588235    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_200 | 142         | 730         | 0.001018  | 13140        | 12216        | 86.0281690140845    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_201 | 170         | 839         | 0.001165  | 15102        | 13980        | 82.2352941176471    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_202 | 124         | 661         | 0.000925  | 11898        | 11100        | 89.5161290322581    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_203 | 152         | 770         | 0.001072  | 13860        | 12864        | 84.6315789473684    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_204 | 183         | 888         | 0.001231  | 15984        | 14772        | 80.7213114754098    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_205 | 119         | 641         | 0.000898  | 11538        | 10776        | 90.5546218487395    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_206 | 127         | 670         | 0.000937  | 12060        | 11244        | 88.5354330708661    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_207 | 124         | 661         | 0.000925  | 11898        | 11100        | 89.5161290322581    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_208 | 167         | 830         | 0.001153  | 14940        | 13836        | 82.8502994011976    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_209 | 157         | 790         | 0.001099  | 14220        | 13188        | 84                  |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_21  | 327         | 1438        | 0.001965  | 25884        | 23580        | 72.1100917431193    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_210 | 1699        | 6737        | 0.009066  | 121266       | 108792       | 64.0329605650383    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_211 | 2148        | 8524        | 0.011478  | 153432       | 137736       | 64.122905027933     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_212 | 2121        | 8413        | 0.011328  | 151434       | 135936       | 64.0905233380481    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_213 | 1799        | 7122        | 0.009585  | 128196       | 115020       | 63.9355197331851    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_214 | 1888        | 7484        | 0.010074  | 134712       | 120888       | 64.0296610169491    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_215 | 1991        | 7893        | 0.010626  | 142074       | 127512       | 64.0441988950276    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_216 | 2003        | 7944        | 0.010695  | 142992       | 128340       | 64.0738891662506    |* 
